type,strike,mid,symbol
call,410.0,10.225,SMH260213C00410000
call,420.0,6.7,SMH260213C00420000
call,425.0,5.375,SMH260213C00425000
call,430.0,4.25,SMH260213C00430000
call,440.0,2.64,SMH260213C00440000
put,320.0,0.8,SMH260213P00320000
put,330.0,1.13,SMH260213P00330000
put,335.0,1.3199999999999998,SMH260213P00335000
put,340.0,1.61,SMH260213P00340000
put,350.0,2.28,SMH260213P00350000
put,360.0,3.25,SMH260213P00360000
put,365.0,3.925,SMH260213P00365000
put,367.5,4.275,SMH260213P00367500
put,370.0,4.675,SMH260213P00370000
put,372.5,5.125,SMH260213P00372500
put,375.0,5.6,SMH260213P00375000
put,385.0,8.05,SMH260213P00385000
